model,variable,lead_d,n,mae,bias
ecmwf_ifs025,wind_mph,2,1146,3.4906456173017917,3.442094428464527
ecmwf_ifs025,humidity_pct,2,1146,9.412535984429693,0.30110422490713074
ecmwf_ifs025,temp_f,3,1146,3.9414209985716955,0.616544585466434
ecmwf_ifs025,wind_mph,3,1146,3.348917883691335,3.292792508743759
ecmwf_ifs025,humidity_pct,3,1146,10.043434490258663,0.678067575692471
ecmwf_ifs025,temp_f,4,1146,4.178651443212508,0.8224782678399072
ecmwf_ifs025,wind_mph,4,1146,3.34170379429007,3.2237698211346837
ecmwf_ifs025,humidity_pct,4,1146,10.554673619987673,1.270563212690726
ecmwf_ifs025,temp_f,5,1146,4.165206176866548,0.48923219454147776
ecmwf_ifs025,wind_mph,5,1146,3.4473682966569545,3.314607517469762
ecmwf_ifs025,humidity_pct,5,1146,12.067227187375204,2.6239663540519826
ecmwf_ifs025,temp_f,6,1146,4.603786546678066,0.4898430147858056
ecmwf_ifs025,wind_mph,6,1146,2.9463985215333506,2.6347645855325896
ecmwf_ifs025,humidity_pct,6,1146,12.211372220674534,2.883128657716904
ecmwf_ifs025,temp_f,7,1146,4.393673111384349,0.7359163132151251
ecmwf_ifs025,wind_mph,7,1146,2.87322744904165,2.5661781980980343
ecmwf_ifs025,humidity_pct,7,1146,11.660485487369318,2.327282235378335
gfs_seamless,temp_f,1,1146,3.797817476467569,1.5124433638259456
gfs_seamless,wind_mph,1,1146,4.332269462822966,4.296021130035208
gfs_seamless,gust_mph,1,1146,6.392137870855148,5.457111692844678
gfs_seamless,humidity_pct,1,1146,13.363968833838264,-11.194532773347667
gfs_seamless,temp_f,2,1146,4.985053449189559,-1.8399999171513668
gfs_seamless,wind_mph,2,1146,2.677584868467881,2.581012404031717
gfs_seamless,gust_mph,2,1146,3.6967975567190234,1.4654013961605583
gfs_seamless,humidity_pct,2,1146,11.38203342638771,1.015763910771005
gfs_seamless,temp_f,3,1146,4.9484991104202996,-1.8620767059820826
gfs_seamless,wind_mph,3,1146,2.483344332959537,2.3171380584819787
gfs_seamless,gust_mph,3,1146,3.7083507853403144,0.7966404886561955
gfs_seamless,humidity_pct,3,1146,12.62493745492749,1.9058162667919474
gfs_seamless,temp_f,4,1146,5.24712743666969,-2.4489004407115766
gfs_seamless,wind_mph,4,1146,2.6083047138579,2.430576103857197
gfs_seamless,gust_mph,4,1146,3.9082984293193714,1.1280541012216405
gfs_seamless,humidity_pct,4,1146,13.10818410545403,4.1091321481183
gfs_seamless,temp_f,5,1146,5.390482416287665,-2.4253402312874925
gfs_seamless,wind_mph,5,1146,2.624793300489633,2.381885004380757
gfs_seamless,gust_mph,5,1146,4.469572425828971,1.2729057591623036
gfs_seamless,humidity_pct,5,1146,12.980013078212346,2.788887820020569
gfs_seamless,temp_f,6,1146,5.815341618010179,-2.4583245244812093
gfs_seamless,wind_mph,6,1146,2.578629610386691,2.3505586518502164
gfs_seamless,gust_mph,6,1146,4.647897033158813,1.2356457242582894
gfs_seamless,humidity_pct,6,1146,14.628005083507162,4.782779617577288
gfs_seamless,temp_f,7,1146,5.928869538981556,-2.5711517496121
gfs_seamless,wind_mph,7,1146,2.508573900916563,2.181972264415661
gfs_seamless,gust_mph,7,1146,4.772801047120419,0.7202006980802793
gfs_seamless,humidity_pct,7,1146,14.633066465457354,3.866549251085142
ncep_nbm_conus,temp_f,1,1146,4.15112179176661,-0.6763873517063409
ncep_nbm_conus,wind_mph,1,1146,2.436481107726249,2.242530728639047
ncep_nbm_conus,gust_mph,1,1146,3.454598603839441,1.975174520069808
ncep_nbm_conus,humidity_pct,1,1146,9.262443175326533,4.212098989305036
ncep_nbm_conus,temp_f,2,1146,4.220389068430572,-0.6036997426312971
ncep_nbm_conus,wind_mph,2,1146,2.3705064624749883,2.1671380584819784
ncep_nbm_conus,gust_mph,2,1146,3.5210209424083767,1.8257853403141358
ncep_nbm_conus,humidity_pct,2,1146,9.577444352486218,3.98347769785652
ncep_nbm_conus,temp_f,3,1146,4.211259204357796,-0.44872592064176847
ncep_nbm_conus,wind_mph,3,1146,2.324876712434,2.0906110078711584
ncep_nbm_conus,gust_mph,3,1146,3.5750349040139615,1.6147905759162304
ncep_nbm_conus,humidity_pct,3,1146,10.077219616497755,3.9180326716785103
ncep_nbm_conus,temp_f,4,1146,4.154874136285895,-0.4613786257028503
ncep_nbm_conus,wind_mph,4,1146,2.2084153459552724,1.944363189372031
ncep_nbm_conus,gust_mph,4,1146,3.641020942408377,1.2969022687609078
ncep_nbm_conus,humidity_pct,4,1146,10.854748769813638,3.8717848531793817
ncep_nbm_conus,temp_f,5,1146,4.241892016428564,-0.21172766584246655
ncep_nbm_conus,wind_mph,5,1146,2.0486771685038567,1.7279583028100762
ncep_nbm_conus,gust_mph,5,1146,3.7649301919720775,0.9674956369982548
ncep_nbm_conus,humidity_pct,5,1146,11.263494874780672,3.510528308676764
ncep_nbm_conus,temp_f,6,1146,4.212378080544821,-0.09427565886166374
ncep_nbm_conus,wind_mph,6,1146,2.0049136969960517,1.6893021073475984
ncep_nbm_conus,gust_mph,6,1146,3.8601134380453748,0.893586387434555
ncep_nbm_conus,humidity_pct,6,1146,10.997667528524545,3.5140187100729245
ncep_nbm_conus,temp_f,7,1146,4.391854597282517,-0.247067979978592
ncep_nbm_conus,wind_mph,7,1146,1.8976918485750462,1.6476790706983837
ncep_nbm_conus,gust_mph,7,1146,3.7188917975567195,0.7866055846422338
ncep_nbm_conus,humidity_pct,7,1146,11.190494088930302,3.1545073662683873
